BARCODE|CREATED_STAMP
8902175135478|2017-01-02 21:04:40.002
8901725135478|2017-01-02 21:04:40.532
8901719102172|2017-01-02 21:04:44.775
8904038111078|2017-01-02 21:04:55.883
8904038111078|2017-01-02 21:04:57.817
8901063028166|2017-01-02 21:05:04.946
8901450005343|2017-01-02 21:06:12.958
8901063362857|2017-01-02 21:06:44.219
8906007280037|2017-01-02 21:10:04.871
8904043901015|2017-01-02 21:10:10.955
8904063200167|2017-01-02 21:10:14.106
8190030587702|2017-01-02 21:10:29.285
8906020730472|2017-01-02 21:10:33.762
8901190107239|2017-01-02 21:10:46.788
8901190206369|2017-01-02 21:10:52.607
8901030602689|2017-01-02 21:10:55.181
8906001053774|2017-01-02 21:10:57.911
8901192212115|2017-01-02 21:11:25.694
8901192123112|2017-01-02 21:11:27.145
8993189271717|2017-01-02 21:14:07.053
8993189271717|2017-01-02 21:14:07.365
8993189271717|2017-01-02 21:15:10.935
8901719102400|2017-01-02 21:19:04.668
8901719102400|2017-01-02 21:19:04.918
8901719101885|2017-01-02 21:19:12.593
8910719101885|2017-01-02 21:19:12.780
8901063028166|2017-01-02 21:19:15.229
8901719106057|2017-01-02 21:19:48.832
8901764012501|2017-01-02 21:20:04.727
8901042957517|2017-01-02 21:23:17.700
8901030628702|2017-01-02 21:25:08.846
8901190206185|2017-01-02 21:25:18.050
8901030534973|2017-01-02 21:27:02.236
8906007280037|2017-01-02 21:27:05.387
8017919101885|2017-01-02 21:27:11.861
16012017|2017-01-17 17:15:37.854
16012017|2017-01-17 17:15:58.374
16012017|2017-01-17 17:16:16.445
8012017|2017-01-17 17:16:50.133
8012017|2017-01-17 17:17:33.917
8901719106057|2017-01-02 21:27:30.566
8901063028166|2017-01-02 21:27:32.937
8901719102400|2017-01-02 21:27:36.946
8901012165362|2017-01-02 21:27:42.796
8904043901015|2017-01-02 21:29:09.568
8904043901015|2017-01-02 21:29:09.864
8906004970023|2017-01-02 21:29:12.953
8906055100011|2017-01-02 21:29:18.710
8901030293597|2017-01-02 21:29:21.190
8901030293597|2017-01-02 21:29:58.302
8901030349751|2017-01-02 21:31:37.053
8901396397380|2017-01-02 21:31:39.081
8901391561333|2017-01-02 21:31:42.014
8901063362772|2017-01-02 21:31:44.806
8901063362772|2017-01-02 21:31:45.695
8901058842722|2017-01-02 21:31:53.807
8901058842722|2017-01-02 21:31:54.353
8901058842722|2017-01-02 21:31:54.977
8904063200044|2017-01-02 21:32:44.563
8904063200174|2017-01-02 21:32:47.590
8906055100011|2017-01-02 21:32:50.772
8908001935401|2017-01-02 21:33:43.253
8901719703058|2017-01-02 21:33:46.264
8901719703058|2017-01-02 21:33:46.482
8901905200778|2017-01-02 21:34:02.441
8906001023050|2017-01-17 21:08:58.684
8906041711030|2017-01-17 21:44:19.302
8906006333079|2017-01-18 11:07:08.569
8904124108098|2017-01-02 20:44:04.430
8904063200013|2017-01-18 15:46:47.590
8901262177139|2017-01-18 15:49:11.823
8901063362819|2017-01-18 16:56:32.446
8901063362819|2017-01-18 16:56:32.665
8901058842722|2017-01-18 16:56:43.242
8901058842722|2017-01-18 16:56:43.444
8901058842722|2017-01-18 16:56:43.725
8019580842722|2017-01-18 16:56:44.006
8901058842296|2017-01-18 16:56:54.193
8901058842296|2017-01-18 16:56:54.973
8901058842296|2017-01-18 16:56:55.394
8910063362802|2017-01-18 16:57:35.841
8901063362376|2017-01-18 16:57:37.058
8906055100011|2017-01-18 16:58:32.651
8901030616259|2017-01-18 16:58:37.955
890406325109|2017-01-18 16:58:55.084
8901058847482|2017-01-18 16:59:33.978
8901030587788|2017-01-18 17:26:32.440
8901058847529|2017-01-18 17:26:49.280
8901058842906|2017-01-18 17:27:01.720
8906058710309|2017-01-18 17:27:04.848
8901262173506|2017-01-18 17:27:08.912
8901764051258|2017-01-18 17:27:54.192
8901764031250|2017-01-18 17:28:04.648
8901764111259|2017-01-18 17:28:16.696
8901058144345|2017-01-18 17:28:22.768
8901233021805|2017-01-18 17:28:47.602
8904124108036|2017-01-18 17:28:51.616
8901764031250|2017-01-18 17:35:11.857
8904043901015|2017-01-18 17:31:37.244
8904043901015|2017-01-18 17:31:42.314
8901063028166|2017-01-18 17:31:45.449
8901030532993|2017-01-18 17:31:47.820
8901719103766|2017-01-18 17:31:49.895
8901058847857|2017-01-18 17:31:53.670
8902121940927|2017-01-18 17:31:56.057
8901063162143|2017-01-18 17:31:58.335
8901058847864|2017-01-18 17:33:52.841
8901058847864|2017-01-18 17:33:53.202
8901580847864|2017-01-18 17:33:53.827
8901721851222|2017-01-18 17:33:56.546
8901052010219|2017-01-18 18:34:24.577
8901719104572|2017-01-18 19:10:06.468
8901491702676|2017-01-18 19:10:08.761
8906007280037|2017-01-18 19:10:11.803
89006696|2017-01-18 19:11:14.640
8904063230058|2017-01-18 19:11:58.256
8901058847505|2017-01-18 19:12:03.732
8901058845396|2017-01-18 19:12:06.493
8907122000050|2017-01-18 19:12:08.817
8901241782200|2017-01-18 19:17:29.970
4902430721217|2017-01-18 19:19:40.528
8901725121624|2017-01-18 19:27:39.232
8901262260121|2017-01-18 19:27:50.158
8901233022017|2017-01-18 19:31:45.183
8901233022208|2017-01-18 19:31:49.693
8906006333079|2017-01-18 19:33:31.142
8901058842821|2017-01-18 19:31:46.987
8901360439003|2017-01-18 19:31:54.990
8901630093287|2017-01-18 19:32:09.030
8901630092303|2017-01-18 19:32:17.610
8902102199427|2017-01-18 19:32:22.071
8901058847833|2017-01-18 19:32:24.973
9018058847833|2017-01-18 19:32:25.238
63029170|2017-01-03 10:10:13.173
8901580478833|2017-01-18 19:32:25.534
8901063029170|2017-01-03 10:10:22.393
8901058847833|2017-01-18 19:32:25.815
89007464|2017-01-03 10:10:26.922
8901190206185|2017-01-18 19:32:35.971
8901030439629|2017-01-03 10:10:33.369
9013841118912|2017-01-18 19:32:38.545
9803114119812|2017-01-18 19:32:38.779
8901071706834|2017-01-18 19:32:41.899
8901651421344|2017-01-18 19:32:45.237
8901652141344|2017-01-18 19:32:45.440
8901123005403|2017-01-18 19:32:54.161
8901030593437|2017-01-18 19:34:15.780
8901030593406|2017-01-18 19:34:25.168
8091030593406|2017-01-18 19:35:01.417
8901030594306|2017-01-18 19:35:06.762
9012682010023|2017-01-18 19:35:09.711
8906000610053|2017-01-18 19:35:12.238
8906000610077|2017-01-18 19:35:15.592
8901512507600|2017-01-18 19:35:33.626
8901512507600|2017-01-18 19:35:34.889
8901512507600|2017-01-18 19:35:35.404
8901512507600|2017-01-18 19:35:35.841
890151250760|2017-01-18 19:35:36.309
8901512507600|2017-01-18 19:35:36.777
8901512507600|2017-01-18 19:35:37.370
8901023007422|2017-01-18 19:35:45.679
8901499007971|2017-01-18 19:38:38.823
8906002004461|2017-01-18 19:39:03.878
846597001156|2017-01-18 19:39:05.890
8904063200457|2017-01-18 19:39:23.043
8908001935579|2017-01-18 19:39:39.672
8906002342587|2017-01-03 10:14:11.005
8906002340064|2017-01-03 10:14:13.544
8901088068758|2017-01-18 21:00:05.491
9018088068758|2017-01-18 21:00:05.756
9801570101996|2017-01-18 21:00:11.700
8901131870079|2017-01-18 21:00:26.036
8904050700717|2017-01-18 21:04:43.979
890312302378|2017-01-18 21:04:48.316
4902430723046|2017-01-18 21:04:51.109
8901242114307|2017-01-18 21:04:56.381
8908001935043|2017-01-18 21:06:39.810
8410125812260|2017-01-18 21:07:18.992
890190502149|2017-01-18 21:08:09.021
8904063252463|2017-01-18 21:08:12.079
8901058845280|2017-01-18 21:08:14.887
8901631505206|2017-01-18 21:08:17.133
8901063029170|2017-01-18 21:08:20.877
8410125281260|2017-01-18 21:08:45.243
643906738693|2017-01-18 20:03:51.949
8901233022994|2017-01-18 20:05:11.173
8923103029294|2017-01-18 20:06:17.831
8901719100369|2017-01-18 20:06:39.200
8901719100369|2017-01-18 20:06:40.760
8901719100369|2017-01-18 20:06:42.070
8901042957968|2017-01-18 20:06:51.587
8901088068758|2017-01-18 20:06:57.140
8901088068758|2017-01-18 20:06:57.343
8901088068758|2017-01-18 20:06:58.544
8904063252524|2017-01-18 20:07:04.441
8901042957698|2017-01-18 20:07:07.015
8901042965543|2017-01-18 20:07:10.727
890104295798|2017-01-18 20:07:30.554
8901042957968|2017-01-18 20:07:35.993
8904038102205|2017-01-18 20:08:42.136
8904063200723|2017-01-18 20:08:45.412
8904063200204|2017-01-18 20:08:49.188
8908006101009|2017-01-18 20:08:52.323
8901063035027|2017-01-18 20:08:54.694
8901063628403|2017-01-18 20:08:57.112
8901063362840|2017-01-18 20:08:57.284
8901719255151|2017-01-18 20:09:00.591
9048043901077|2017-01-18 20:09:05.302
8901063093416|2017-01-18 20:09:11.246
890105884520|2017-01-18 20:09:13.258
8901233022994|2017-01-18 20:09:17.330
8908006436033|2017-01-18 20:30:06.811
8904063200563|2017-01-18 20:30:47.427
8906001385196|2017-01-18 20:30:49.892
8901314306500|2017-01-18 20:33:27.281
890124217810|2017-01-18 20:33:30.947
8901058842722|2017-01-18 20:33:35.112
8901508842722|2017-01-18 20:33:37.764
8901030532993|2017-01-18 20:33:43.084
8901725134747|2017-01-18 20:33:47.733
189030412783|2017-01-18 20:34:07.919
8901058845280|2017-01-18 20:34:18.652
8901058452880|2017-01-18 20:34:18.917
8000500239162|2017-01-18 20:34:50.647
8901030577680|2017-01-18 20:36:09.943
8901030516320|2017-01-18 20:38:06.698
8901391769009|2017-01-18 20:38:48.558
8901030591242|2017-01-18 21:22:32.184
8901030245912|2017-01-18 21:22:32.449
8901030591242|2017-01-18 21:22:32.792
8901030591242|2017-01-18 21:22:33.213
8901030591242|2017-01-18 21:22:33.759
8901030591242|2017-01-18 21:22:34.820
8901030533006|2017-01-18 21:22:40.764
8901030533006|2017-01-18 21:22:41.091
9018030585852|2017-01-18 21:22:45.412
8901030585852|2017-01-18 21:22:45.771
8901030585852|2017-01-18 21:22:46.645
8901030627378|2017-01-18 21:22:49.703
8901030627378|2017-01-18 21:22:51.403
8901030627378|2017-01-18 21:22:51.731
8901030408359|2017-01-18 21:22:54.835
8901030408359|2017-01-18 21:22:55.225
8901030408359|2017-01-18 21:22:55.974
8901030565328|2017-01-18 21:23:00.139
8901030565328|2017-01-18 21:23:00.654
8901030565328|2017-01-18 21:23:01.215
8901030438493|2017-01-18 21:23:04.538
8901034380493|2017-01-18 21:23:05.537
8901030438493|2017-01-18 21:23:06.067
8901030622786|2017-01-18 21:23:08.688
8901030622786|2017-01-18 21:23:09.218
8901030482083|2017-01-18 21:23:14.257
8901030482083|2017-01-18 21:23:15.162
8906055100097|2017-01-18 21:23:29.649
8906055100011|2017-01-18 21:23:34.074
8901030482083|2017-01-18 21:24:08.239
890103048283|2017-01-18 21:24:09.128
8901030482083|2017-01-18 21:24:09.581
8190030482083|2017-01-18 21:26:14.810
8901030482083|2017-01-18 21:26:15.090
901803048283|2017-01-18 21:26:15.496
8901030482083|2017-01-18 21:26:15.902
890103048283|2017-01-18 21:26:44.973
8901030565328|2017-01-18 21:27:04.115
8901030565328|2017-01-18 21:27:04.349
8901725132194|2017-01-19 19:20:40.239
8901725132194|2017-01-19 19:20:41.674
8901725132194|2017-01-19 19:20:42.282
8017919104282|2017-01-19 19:20:53.530
8901063028166|2017-01-19 19:21:11.018
8901063028166|2017-01-19 19:21:11.330
8901905021249|2017-01-19 19:21:13.716
8901905021249|2017-01-19 19:21:17.039
8901242178101|2017-01-19 19:21:20.861
8901063025189|2017-01-19 19:43:27.766
8901063155206|2017-01-19 19:43:30.482
8901248253109|2017-01-19 19:43:34.120
8907119108471|2017-01-19 19:43:38.585
8901248295048|2017-01-19 19:43:48.516
8901063155206|2017-01-19 19:43:52.566
